Italiano,Francais
e,et
non,non
che,Ce
di,De
il,Le
a,un
è,Et
una,une
sono,Je suis
l',l '
ha,Ha
lo,il
con,avec
le,le
se,avec
i,je
io,moi
hai,deux
bene,bien
sei,peut être
tu,Ce
mio,Mon
me,moi
c',C '
era,ère
mia,mon
fare,Faire
so,donc
sì,Oui
lei,loi
ne,c'est
questa,ce
ok,d'accord
perche,pouquoi
mai,Peut
o,O
stato,l'état
tutti,tous
grazie,Merci
sta,étaient
più,plus
perché,pouquoi
beh,Bien
nel,Dans le
allora,donc
piu,plus
prima,avant
suo,son
qualcosa,quelque chose
siamo,nous sommes
cosi,Comme ça
ancora,encore
stai,tu es
sua,ton
casa,Loger
dove,Où
vero,vrai
noi,nous
quindi,donc
d',d'
quella,ce
altro,Autre
andare,aller
po,après
devo,Je dois
forse,Peut-être
proprio,posséder
tempo,temps
poi,puis
credo,Je crois
cose,choses
quanto,combien
fuori,dehors
cui,qui
dell',de
visto,voir
all',tous'
voi,beurre
dio,partie
dopo,Après
stata,était
padre,père
bisogno,besoin
amico,Ami
posto,lieu
via,via
fai,faire
meglio,mieux
dai,allez
vuole,veut
giorno,jour
modo,chemin
vedere,voir
signor,M
dispiace,Désolé
ecco,Voici
tra,Entre
già,Déjà
dalla,du
fosse,est
ce,ce
male,homme
avete,tu as
favore,service
vai,ou
giusto,Droite
miei,mon
avere,ont
farlo,pour le faire
facendo,action
momento,temps
aveva,J'avais
deve,il doit
nostro,notre
prego,clou
può,peut
appena,dès que
soldi,argent
sapere,savoir
oggi,Aujourd'hui
piace,fait plaisir
siete,sept
avevo,J'avais
accordo,accord
sicuro,assurer
degli,de la
dentro,à l'intérieur
queste,ces
forza,Force
tutte,tous
signora,Madame
nome,nom
problema,problème
puo,Langue
mondo,monde
preso,pris 
nostra,notre
stare,regard
insieme,Ensemble
ragazza,fille
famiglia,famille
volevo,j'ai voulu
sentito,sens
stesso,même
sarà,sera
capito,Compris
volte,fois
serve,servir
sotto,sous
suoi,son
sara,Sara
stiamo,nous sommes
scusa,Excuse-moi
pensavo,Je pensais
prendere,prendre
porta,porte
moglie,l'épouse
storia,histoire
morto,décédé
dici,dit
pronto,prêt
dovuto,exigible
capisco,Je comprends
venire,venir
lì,là
stanno,ils sont
letto,Lit
dico,je dis
fine,bien
paura,craindre
stavo,J'étais
nell',dans le'
facciamo,Nous faisons
capo,chef
nei,dans le
state,État
macchina,voiture
comunque,toutefois
giorni,jours
mano,mille
presto,Bientôt
merda,Merde
bambino,enfant
vedo,Je vois
quelle,ceux
primo,premier
neanche,pas même
giro,visite
e',C'est'
pensato,pensée
anno,année
diavolo,diable
piacere,Plaisir
dovrei,je devrais
contro,contre
felice,heureux
punto,indiquer
dovrebbe,devrait
quale,quel est
invece,Plutôt
migliore,améliorer
finito,fini
dovresti,tu devrais
almeno,au moins
quei,ceux
ore,minerai
magari,Peut-être
terra,Terre
strada,route
credi,croire
sue,poursuivre en justice
settimana,semaine
uscire,sortir
papà,père
scusi,Excuse-moi
occhi,yeux
ultima,dernier
scuola,école
sapevo,je savais
potrei,Je pourrais
bambini,enfants
importa,Cela compte
riesco,je suis capable de
chiama,qui aime
piccolo,petit
tardi,en retard
marito,Mari
venuto,à venir
spero,Je espère
quelli,ceux
lasciato,laissé
difficile,difficile
auto,auto
ciò,c'est
parlando,Parlant
fantastico,Fantastique
numero,nombre
fanno,ils font
serio,serieux
fossi,plonger
anch',aussi
pensa,pense
acqua,eau
stanza,strophe
forte,fort
lascia,feuilles
roba,caoutchouc
dietro,derrière
pare,regarder
foto,Photo
voleva,il voulait
prendi,tu prends
non,non
di,De
il,Le
a,un
è,Et
una,ongle
sono,Je suis
l',l '
ha,Ha
lo,il
con,avec
le,le
se,avec
i,je
io,il
hai,deux
bene,bien
sei,peut être
tu,Ce
mio,Mon
me,moi
c',C '
era,ère
mia,mon
fare,Faire
so,donc
sì,Oui
lei,loi
ne,c'est
questa,ce
ok,d'accord
perche,pouquoi
mai,Peut
o,O
stato,l'état
tutti,tous
grazie,Merci
sta,étaient
più,plus
perché,pouquoi
beh,Bien
nel,Dans le
allora,donc
piu,plus
prima,avant
suo,son
qualcosa,quelque chose
siamo,nous sommes
cosi,Comme ça
ancora,encore
stai,tu es
sua,ton
casa,Loger
dove,Où
vero,vrai
noi,nous
quindi,donc
d',d'
quella,ce
altro,Autre
andare,aller
po,après
devo,Je dois
forse,Peut-être
proprio,posséder
tempo,temps
poi,puis
credo,Je crois
cose,choses
quanto,combien
fuori,dehors
cui,qui
dell',de
visto,voir
all',tous'
voi,beurre
dio,partie
dopo,Après
stata,était
padre,père
bisogno,besoin
amico,Ami
posto,lieu
via,via
fai,faire
meglio,mieux
dai,allez
vuole,veut
giorno,jour
modo,chemin
vedere,voir
signor,M
dispiace,Désolé
ecco,Voici
tra,Entre
già,Déjà
dalla,du
fosse,est
ce,ce
male,homme
avete,tu as
favore,service
vai,ou
giusto,Droite
miei,mon
avere,ont
farlo,pour le faire
facendo,action
momento,temps
aveva,J'avais
deve,il doit
nostro,notre
prego,clou
può,peut
appena,dès que
soldi,argent
sapere,savoir
oggi,Aujourd'hui
piace,fait plaisir
siete,sept
avevo,J'avais
accordo,accord
sicuro,assurer
degli,de la
dentro,à l'intérieur
queste,ces
forza,Force
tutte,tous
signora,Madame
nome,nom
problema,problème
puo,Langue
mondo,monde
preso,pris 
nostra,notre
stare,regard
insieme,Ensemble
ragazza,fille
famiglia,famille
volevo,j'ai voulu
sentito,sens
stesso,même
sarà,sera
capito,Compris
volte,fois
serve,servir
sotto,sous
suoi,son
sara,Sara
stiamo,nous sommes
scusa,Excuse-moi
pensavo,Je pensais
prendere,prendre
porta,porte
moglie,l'épouse
storia,histoire
morto,décédé
dici,dit
pronto,prêt
dovuto,exigible
capisco,Je comprends
venire,venir
lì,là
stanno,ils sont
letto,Lit
dico,je dis
fine,bien
paura,craindre
stavo,J'étais
nell',dans le'
facciamo,Nous faisons
capo,chef
nei,dans le
state,État
macchina,voiture
comunque,toutefois
giorni,jours
mano,mille
presto,Bientôt
merda,Merde
bambino,enfant
vedo,Je vois
quelle,ceux
primo,premier
neanche,pas même
giro,visite
e',C'est'
pensato,pensée
anno,année
diavolo,diable
piacere,Plaisir
dovrei,je devrais
contro,contre
felice,heureux
punto,indiquer
dovrebbe,devrait
quale,quel est
invece,Plutôt
migliore,améliorer
finito,fini
dovresti,tu devrais
almeno,au moins
quei,ceux
ore,minerai
magari,Peut-être
terra,Terre
strada,route
credi,croire
sue,poursuivre en justice
settimana,semaine
uscire,sortir
papà,père
scusi,Excuse-moi
occhi,yeux
ultima,dernier
scuola,école
sapevo,je savais
potrei,Je pourrais
bambini,enfants
importa,Cela compte
riesco,je suis capable de
chiama,qui aime
piccolo,petit
tardi,en retard
marito,Mari
venuto,à venir
spero,Je espère
quelli,ceux
lasciato,laissé
difficile,difficile
auto,auto
ciò,c'est
parlando,Parlant
fantastico,Fantastique
numero,nombre
fanno,ils font
serio,serieux
fossi,plonger
anch',aussi
pensa,pense
acqua,eau
stanza,strophe
forte,fort
lascia,feuilles
roba,caoutchouc
dietro,derrière
pare,regarder
foto,Photo
voleva,il voulait
prendi,tu prends